FetchDate,Company,Status,Category,Accession,Filed,Document,Description,Class/Type,Security Level,Period,Operating Revenue,Operating Expenses,Depreciation,Amortization,Grand Total,Download File Location
07/26/2022,Colonial Pipeline,complete,Submittal,20220418-8098,04/18/2022,04/18/2022,Colonial Pipeline Company submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"1,227,866,507","781,606,451","77,669,614","10,733,404","826,344,230",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/colonial_pipeline_form6
07/26/2022,Concha Chemical Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Conoco Offshore Pipeline,complete,Submittal,20220414-8001,04/14/2022,04/14/2022,Conoco Offshore Pipe Line Company submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"1,175,798","484,100",,,"1,244,587",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/conoco_offshore_pipeline_form6
07/26/2022,Phillips 66 Pipeline,complete,Submittal,20220418-8067,04/18/2022,04/18/2022,Phillips 66 Pipeline LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"186,956,983","153,904,710.00","19,877,266",,"129,223,494",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/phillips_66_pipeline_form6
07/26/2022,Cook Inlet Pipe Line,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Crown-Rancho Pipe Line,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,D.S.E. Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Diamond Shamrock Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Diamond Shamrock Refining and Marketing,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Dixie Pipeline,complete,Submittal,20220415-8007,04/15/2022,04/15/2022,Dixie Pipeline Company LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"71,692,997","62,455,736","4,481,440",,"37,303,999",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/dixie_pipeline_form6
07/26/2022,Dome Petroleum,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Link Energy Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Valero Terminaling and Distribution,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Enbridge Pipelines (North Dakota),nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Endicott Pipeline,complete,Submittal,20220404-8001,04/04/2022,04/04/2022,Endicott Pipeline Company submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"10,749,489","6,704,606","1,085,766",0,"5,975,187",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/endicott_pipeline_form6
07/26/2022,Shell Pipeline,complete,Submittal,20220608-8018,06/08/2022,06/08/2022,Shell Pipeline Company LP submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"54,228,684","55,356,359","17,724,345","6,756,850","184,375,843",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/shell_pipeline_form6
07/26/2022,Ewing Bank Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Explorer Pipeline,complete,Submittal,20220414-8024,04/14/2022,04/14/2022,Explorer Pipeline Company submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"400,721,650","177,950,292","24,499,872","760,721","208,919,055",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/explorer_pipeline_form6
07/26/2022,Express Pipeline,complete,Submittal,20220418-8015,04/18/2022,04/18/2022,Express Pipeline LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"251,417,600","85,620,889","18,156,184",,"103,182,568",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/express_pipeline_form6
07/26/2022,ExxonMobil Pipeline,complete,Submittal,20220418-8094,04/18/2022,04/18/2022,ExxonMobil Pipeline Company LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"676,378,062","383,703,047","57,039,292",,"778,320,890",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/exxonmobil_pipeline_form6
07/26/2022,Farmland Industries,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Frontier Aspen,complete,Submittal,20220720-8000,07/20/2022,07/20/2022,Frontier Aspen LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"24,329,232","10,105,904.64","1,804,315","518,200","21,729,031",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/frontier_aspen_form6
