FetchDate,Company,Status,Category,Accession,Filed,Document,Description,Class/Type,Security Level,Period,Operating Revenue,Operating Expenses,Depreciation,Amortization,Grand Total,Download File Location
07/26/2022,Buckeye Pipe Line Transportation,complete,Submittal,20220418-8002,04/18/2022,04/18/2022,Buckeye Pipe Line Transportation LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"102,675,803","105,384,560","14,362,924","1,139,953","53,893,147",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/buckeye_pipe_line_transportation_form6
07/26/2022,Suburban Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Muskegon Pipeline,complete,Submittal,20220412-8015,04/12/2022,04/12/2022,Muskegon Pipeline LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"9,887,418","3,302,227","980,265",,"11,509,778",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/muskegon_pipeline_form6
07/26/2022,ONEOK NGL Pipeline,complete,Submittal,20220412-8009,04/12/2022,04/12/2022,"ONEOK NGL Pipeline, L.L.C. submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"214,221,846","235,240,962","19,772,893","366,252","225,443,638",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/oneok_ngl_pipeline_form6
07/26/2022,Keystone Pipeline,complete,Submittal,20220428-8005,04/28/2022,04/28/2022,"Keystone Pipeline Company, LLC submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"4,778,372","3,146,173",,,"2,723,961",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/keystone_pipeline_form6
07/26/2022,MarkWest Michigan Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Bengal Pipeline,complete,Submittal,20220418-8075,04/18/2022,04/18/2022,Bengal Pipeline Company LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"45,949,165","28,258,728","5,283,796",,"121,534,891",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/bengal_pipeline_form6
07/26/2022,Whiting Oil & Gas,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Spire NGL,complete,Submittal,20220418-8091,04/18/2022,04/18/2022,Spire NGL Inc. submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"788,559","1,129,010","216,417",0,"5,028,157",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/spire_ngl_form6
07/26/2022,Longhorn Partners Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Buckeye NGL Pipe Lines,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,DryTrails Midstream Energy,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Running Horse Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,LDH Energy Hastings,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Arrowhead Louisiana Gathering,complete,Submittal,20220414-8067,04/14/2022,04/14/2022,Arrowhead Louisiana Gathering LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"5,829,449","2,872,453","1,641,075",0,"2,015,592.69",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/arrowhead_louisiana_gathering_form6
07/26/2022,Cottonwood Creek,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Rio Vista Energy Partners,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Enbridge Storage (Patoka),complete,Submittal,20220418-8025,04/18/2022,04/18/2022,Enbridge Storage (Patoka) L.L.C. submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"91,516","186,087","350,579",,"1,380,631",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/enbridge_storage__patoka__form6
07/26/2022,ONEOK North System,complete,Submittal,20220412-8011,04/12/2022,04/12/2022,"ONEOK North System, L.L.C. submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"133,339,244","88,802,284","6,084,154","7,051,983","47,274,021",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/oneok_north_system_form6
07/26/2022,Plains LPG Services,complete,Submittal,20220502-8010,05/02/2022,05/02/2022,"Plains LPG Services, L.P. submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"2,815,932","2,292,516","154,364",0,"6,567,322",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/plains_lpg_services_form6
07/26/2022,Andeavor Gathering I,complete,Submittal,20220413-8004,04/13/2022,04/13/2022,Andeavor Gathering I LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"8,929,042","2,038,072","14,802,633",,"3,184,886",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/andeavor_gathering_i_form6
07/26/2022,Wesco Pipeline,complete,Submittal,20220413-8040,04/13/2022,04/13/2022,Wesco Pipeline LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"40,640",,,,"131,967",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/wesco_pipeline_form6
07/26/2022,Valero MKS Logistics,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Overland Pass Pipeline,complete,Submittal,20220415-8038,04/15/2022,04/15/2022,Overland Pass Pipeline Company LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"80,288,506","41,429,148","18,111,150",,"31,177,149",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/overland_pass_pipeline_form6
07/26/2022,SLC Pipeline,complete,Submittal,20220414-8078,04/14/2022,04/14/2022,SLC Pipeline LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"30,092,894","16,228,733.63","2,711,136","6,500,000","33,618,507",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/slc_pipeline_form6
07/26/2022,White Cliffs Pipeline,complete,Submittal,20220420-8000,04/20/2022,04/20/2022,"White Cliffs Pipeline, L.L.C. submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"58,169,370","49,757,783","29,021,893",,"17,724,531",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/white_cliffs_pipeline_form6
07/26/2022,ONEOK Arbuckle North Pipeline,complete,Submittal,20220412-8007,04/12/2022,04/12/2022,"ONEOK Arbuckle North Pipeline, L.L.C. submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"109,095,165","118,367,450","1,619,558",,"40,511,903",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/oneok_arbuckle_north_pipeline_form6
07/26/2022,Excel Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,DCP Wattenberg Pipeline,complete,Submittal,20220414-8030,04/14/2022,04/14/2022,DCP Wattenberg Pipeline LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"65,546,486","31,552,877","1,493,286","44,160",,/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/dcp_wattenberg_pipeline_form6
07/26/2022,Hawthorn Oil Transportation (North Dakota),complete,Submittal,20220406-8003,04/06/2022,04/06/2022,"Hawthorn Oil Transportation (North Dakota), Inc. submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"91,904","982,693","389,354",,,/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/hawthorn_oil_transportation__north_dakota__form6
07/26/2022,Hawthorn Oil Transportation (Oklahoma),nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,TransCanada Keystone Pipeline,complete,Submittal,20220412-8016,04/12/2022,04/12/2022,"TransCanada Keystone Pipeline, LP submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"1,295,815,768","589,773,367","163,140,224",,"220,029,390",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/transcanada_keystone_pipeline_form6
07/26/2022,Northstar Pipeline,complete,Submittal,20220404-8004,04/04/2022,04/04/2022,"Northstar Pipeline Company, LLC submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"8,886,930","6,966,452","1,015,451",0,"3,053,928",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/northstar_pipeline_form6
07/26/2022,Plains Pipeline - North Dakota,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Cypress Interstate Pipeline,complete,Submittal,20220412-8022,04/12/2022,04/12/2022,Cypress Interstate Pipeline LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"13,111,914","4,134,500","935,624",,"14,394,996",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/cypress_interstate_pipeline_form6
07/26/2022,Enbridge Pipelines (Southern Lights),complete,Submittal,20220418-8044,04/18/2022,04/18/2022,Enbridge Pipelines (Southern Lights) LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"213,873,416","105,762,896","58,968,211",,"48,563,149",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/enbridge_pipelines__southern_lights__form6
07/26/2022,Delaware Pipeline,complete,Submittal,20220419-8002,04/19/2022,04/19/2022,Delaware Pipeline Company LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"17,825,178","3,687,222","962,992",,"34,084,010",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/delaware_pipeline_form6
07/26/2022,SP 49 Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Energy XXI Pipelines,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,UNEV Pipeline,complete,Submittal,20220414-8079,04/14/2022,04/14/2022,"UNEV Pipeline, LLC submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"42,047,596","21,932,390.92","11,850,701",,"8,328,728",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/unev_pipeline_form6
07/26/2022,Independent Trading & Transportation I,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Hiland Crude,complete,Submittal,20220411-8005,04/11/2022,04/11/2022,"Hiland Crude, LLC submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"215,320,470","150,686,547","69,326,053",,"83,138,305",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/hiland_crude_form6
07/26/2022,Calument Pipeline Transportation,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,GEL Offshore Pipeline,complete,Submittal,20220414-8022,04/14/2022,04/14/2022,"GEL Offshore Pipeline, LLC submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"2,619,373","9,843,475","7,509,376",,"2,853,371",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/gel_offshore_pipeline_form6
07/26/2022,Hardin Street Holdings,complete,Submittal,20220412-8012,04/12/2022,04/12/2022,Hardin Street Holdings LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"13,537,029","6,942,329","889,139",,"1,058,566",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/hardin_street_holdings_form6
07/27/2022,Hilcorp Energy GOM,nodata - name not on description,,,,,,,,,,,,,,
07/27/2022,NuStar Crude Oil Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/27/2022,Arrowhead Offshore Pipeline,complete,Submittal,20220418-8043,04/18/2022,04/18/2022,"Arrowhead Offshore Pipeline, LLC submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"2,651,852","3,963,433","1,137,479",0,"1,212,194",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_27/ferc/arrowhead_offshore_pipeline_form6
07/27/2022,ONEOK Bakken Pipeline,complete,Submittal,20220413-8024,04/13/2022,04/13/2022,"ONEOK Bakken Pipeline, L.L.C. submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"314,149,439","78,443,426","26,863,875",,"110,042,752",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_27/ferc/oneok_bakken_pipeline_form6
07/27/2022,MIPC,nodata - name not on description,,,,,,,,,,,,,,
07/27/2022,SALA Gathering Systems,complete,Submittal,20220510-8002,05/10/2022,05/10/2022,"SALA Gathering Systems, LLC submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"29,734,678","8,073,220.00","769,914",922,,/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_27/ferc/sala_gathering_systems_form6
07/27/2022,Magnolia Pipeline,complete,Submittal,20220510-8000,05/10/2022,05/10/2022,"Magnolia Pipeline Company, LLC submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"16,910,571","5,512,837.00","104,173",,,/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_27/ferc/magnolia_pipeline_form6
07/27/2022,El Dorado Pipelien,nodata - name not on description,,,,,,,,,,,,,,
07/27/2022,DCP Sand Hills Interstate Pipeline,complete,Submittal,20220414-8096,04/14/2022,04/14/2022,"DCP Sand Hills Interstate Pipeline, LLC submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"71,366,827","53,389,821","627,788","4,268",,/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_27/ferc/dcp_sand_hills_interstate_pipeline_form6
07/27/2022,DCP Southern Hills Pipeline,complete,Submittal,20220615-8004,06/15/2022,06/15/2022,"DCP Southern Hills Pipeline, LLC submits FERC Form 6 report for 2020/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2020/Q4,"214,488,175","94,430,598","21,863,250","55,469",,/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_27/ferc/dcp_southern_hills_pipeline_form6
07/27/2022,Phillips 66 Carrier,complete,Submittal,20220418-8070,04/18/2022,04/18/2022,Phillips 66 Carrier LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"486,569,876","268,653,731","43,807,102",,"354,138,892",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_27/ferc/phillips_66_carrier_form6
07/27/2022,Paline Pipeline,complete,Submittal,20220510-8003,05/10/2022,05/10/2022,"Paline Pipeline Company, LLC submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"29,772,005","11,229,373.00","808,183",,,/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_27/ferc/paline_pipeline_form6
07/27/2022,Tesoro Logistics Northwest Pipeline,complete,Submittal,20220412-8002,04/12/2022,04/12/2022,Tesoro Logistics Northwest Pipeline LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"69,431,660","63,104,810","15,933,178",,"45,910,862",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_27/ferc/tesoro_logistics_northwest_pipeline_form6
07/27/2022,Texas Express Pipeline,complete,Submittal,20220414-8019,04/14/2022,04/14/2022,Texas Express Pipeline LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"243,058,254","58,293,736","30,198,002",,"72,666,711",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_27/ferc/texas_express_pipeline_form6
07/27/2022,Front Range Pipeline,complete,Submittal,20220414-8016,04/14/2022,04/14/2022,Front Range Pipeline LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"158,639,542","43,985,560","18,017,594",,"69,088,271",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_27/ferc/front_range_pipeline_form6
07/27/2022,GNB NGL Pipeline,complete,Submittal,20220331-8008,03/31/2022,03/31/2022,GNB NGL Pipeline LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"1,696,817","1,319,141","808,691",,"2,834,129",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_27/ferc/gnb_ngl_pipeline_form6
07/27/2022,Parkway Pipeline,complete,Submittal,20220414-8054,04/14/2022,04/14/2022,Parkway Pipeline LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"29,552,367","17,001,462","8,038,693",,"31,329,435",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_27/ferc/parkway_pipeline_form6
07/27/2022,Enable Bakken Crude Services,complete,Submittal,20220414-8028,04/14/2022,04/14/2022,"Enable Bakken Crude Services, LLC submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"26,632,679","18,864,990","10,951,050","102,624","10,836,460",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_27/ferc/enable_bakken_crude_services_form6
07/27/2022,Bakken Pipeline,complete,Submittal,20220418-8016,04/18/2022,04/18/2022,Bakken Pipeline Company LP submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"24,524,886","9,307,129","4,836,265",,"3,458,842",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_27/ferc/bakken_pipeline_form6
07/27/2022,BreitBurn Operating,nodata - name not on description,,,,,,,,,,,,,,
07/27/2022,Frontier Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/27/2022,Marketlink,complete,Submittal,20220414-8009,04/14/2022,04/14/2022,"Marketlink, LLC submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"404,042,671","271,775,610","6,602,133",,"156,068,435",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_27/ferc/marketlink_form6
07/27/2022,EnLink NGL Pipeline,complete,Submittal,20220418-8080,04/18/2022,04/18/2022,"EnLink NGL Pipeline, LP submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"199,207,789","31,509,448","7,876,709",,"63,217,478",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_27/ferc/enlink_ngl_pipeline_form6
07/27/2022,Bakkenlink Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/27/2022,Lone Star NGL Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/27/2022,MarkWest Liberty Ethane Pipeline,complete,Submittal,20220413-8042,04/13/2022,04/13/2022,"MarkWest Liberty Ethane Pipeline, L.L.C. submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"107,795,934","28,837,040","20,820,138",,"40,859,796",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_27/ferc/markwest_liberty_ethane_pipeline_form6
07/27/2022,USG Wheatland Pipeline,complete,Submittal,20220414-8083,04/14/2022,04/14/2022,"USG Wheatland Pipeline, LLC submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"609,503","743,565","483,500",,"435,957",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_27/ferc/usg_wheatland_pipeline_form6
07/27/2022,Plains Southcap,nodata - name not on description,,,,,,,,,,,,,,
07/27/2022,Valero Partners Lucas,complete,Submittal,20220414-8044,04/14/2022,04/14/2022,"Valero Partners Lucas, LLC submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"41,440,011","8,174,381","2,605,623",,"146,961,164",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_27/ferc/valero_partners_lucas_form6
07/27/2022,Valero Partners PAPS,complete,Submittal,20220414-8048,04/14/2022,04/14/2022,"Valero Partners PAPS, LLC submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"24,706,410","9,699,643","2,673,321",,"97,856,670",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_27/ferc/valero_partners_paps_form6
07/27/2022,Ohio River Valley Pipeline,complete,Submittal,20220418-8087,04/18/2022,04/18/2022,"Ohio River Valley Pipeline, LLC submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"2,782,480","3,758,539","1,138,144",,"1,842,093",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_27/ferc/ohio_river_valley_pipeline_form6
07/27/2022,Blue Racer NGL Pipelines,complete,Submittal,20220325-8000,03/25/2022,03/25/2022,"Blue Racer NGL Pipelines, LLC submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"22,762,832","19,179,792","7,434,025",,,/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_27/ferc/blue_racer_ngl_pipelines_form6
07/27/2022,Nutaaq Pipeline,complete,Submittal,20220509-8003,05/09/2022,05/09/2022,Nutaaq Pipeline LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"4,959,040","4,366,499",,,,/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_27/ferc/nutaaq_pipeline_form6
07/27/2022,Buckeye Linden Pipe Line,complete,Submittal,20220418-8003,04/18/2022,04/18/2022,Buckeye Linden Pipe Line Company LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"13,275,696","16,893,379",,,"17,443,030",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_27/ferc/buckeye_linden_pipe_line_form6
07/27/2022,Vantage Pipeline US,complete,Submittal,20220414-8021,04/14/2022,04/14/2022,Vantage Pipeline US LP submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"17,300,439","7,323,646","3,045,964","1,927,851","10,356,092",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_27/ferc/vantage_pipeline_us_form6
07/27/2022,Valero Partners Wynnewood,complete,Submittal,20220414-8049,04/14/2022,04/14/2022,"Valero Partners Wynnewood, LLC submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"23,286,139","9,760,878","2,337,788",,"37,394,373",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_27/ferc/valero_partners_wynnewood_form6
