ObjectKey,FetchDate,Date,Year,Passengers
cb160035d2a9817d9b7f7e09406c28e82f9738b1ad593afc8de875c3cf6b5bb9,05/31/2022,5/14/2022,2019,"2,091,116"
25d88af8516b48628f2bb583af61b094a94ec806f1b0d9015822fc828a40b69f,05/31/2022,5/13/2022,2022,"2,352,035"
52ebd289462ee73fdef53cef4973e12818558e5cd7082221136d9a773d5b72c9,05/31/2022,5/13/2022,2021,"1,716,561"
dd6003245864e4805b453aae946382f43b15e37a2f8dbc3f4d3086e6b7328c24,05/31/2022,5/13/2022,2020,"250,467"
a72b6ce44ee9fc287f3e0c16d76186c4363d1f0d1faaf5662d3cd39cf37e5195,05/31/2022,5/13/2022,2019,"2,664,549"
b7421f76c06d58579326748e85c185d15ca3ff0231939205970e040ee4bc16f3,05/31/2022,5/12/2022,2022,"2,327,671"
117f6093054d5448a6d63c4e988777c8857e7a44fe43d1a9005279b45a5c965e,05/31/2022,5/12/2022,2021,"1,743,515"
e33fa38039d438db571dde9a7442c62d38da761c1d4bfa6b1c074255f1535793,05/31/2022,5/12/2022,2020,"234,928"
cd8faa5e8cb618cab6031313f1185ddf26570dd232dc0ea7e116b8b7d7838243,05/31/2022,5/12/2022,2019,"2,611,324"
aca6d4bb6df7eb5f8fb97a2172d398460de0750bd426d9a1a4f4cbd8ce905d69,05/31/2022,5/11/2022,2022,"2,025,161"
ae61e8310b4a30fe4339ae9524c7f33ae841780e888089b06a0e74dd1f35af2c,05/31/2022,5/11/2022,2021,"1,424,664"
b335c09eaf061eba9ceeb2a387140afc4dd962c3782a45bf15002d5323c8ee7c,05/31/2022,5/11/2022,2020,"176,667"
e9609ce0dad98af04c6b3f531be253b27c3f80f3de33f3b1b8da0785907e09c9,05/31/2022,5/11/2022,2019,"2,343,675"
45ae0ad96b0c2ee27167ca60fe1f1e7c53926b7206770f41b5a2aa57537ce1f9,05/31/2022,5/10/2022,2022,"1,900,738"
31ab4f18d76dd56e2bce3a027df0cdff1eafe6295e4ad0b75a8bee2593fbf616,05/31/2022,5/10/2022,2021,"1,315,493"
8e7cd6beeee6f2a9762d6c5bfbdf02119139a20ecfab720e32e582b893ccdf1e,05/31/2022,5/10/2022,2020,"163,205"
bf8a84c345b3236ed803755acecf32a434396292b1421969ec77926d797b95d0,05/31/2022,5/10/2022,2019,"2,191,387"
d1d886539518b4d3af0f347b4e7d39d7dcad222c5fe9831f0bf5bf8cd7527e1c,05/31/2022,5/9/2022,2022,"2,231,804"
a530e7446aa309be3ea6c4815e625ae40a592a26597bc211da9fd675794ddfb7,05/31/2022,5/9/2022,2021,"1,657,722"
81a75ae62f79b90f502fc4d75402aa1bc2849ef3521baccdb17acb42534b32c5,05/31/2022,5/9/2022,2020,"215,645"
f7a99ee066c37cd2f688b3a5bb955347d0a0adecd88d80e023c660fbc746c2ad,05/31/2022,5/9/2022,2019,"2,512,315"
8c4abf298641a8731c6e1ba287cd0caa75f421a048248324e530229c703ba322,05/31/2022,5/8/2022,2022,"2,248,861"
6dc4c0f7bf7236bcf831db6c1e57a83b34d1c40a646d0d206db1ac8e4e0a8272,05/31/2022,5/8/2022,2021,"1,707,805"
0f466827f43aae42a44a64e7d3ce05a4aa44866b2b6a486d2b218174f62a916f,05/31/2022,5/8/2022,2020,"200,815"
ceebeb2120c500f8d754dadeadc2f76702e0d0ee066d05a25fc4366a0a8fed5a,05/31/2022,5/8/2022,2019,"2,419,114"
80dae2fbb18e670ac5bcf1632b82c4240c5b0367fd359ca0b6c858eb9ab9d493,05/31/2022,5/7/2022,2022,"1,869,222"
94026f0776746899c220f2c2d4380068da101f9d1d6b596db13f0191d39d5532,05/31/2022,5/7/2022,2021,"1,429,657"
e28049a97d9513861522ebf058e9d4b4db727c85f2e6ed6751c5c2b12c8ab579,05/31/2022,5/7/2022,2020,"169,580"
18ddd761b9ac932b6cf62c8390b17d6f5ce963c1f9eb1a4c71af83f35fcd56d2,05/31/2022,5/7/2022,2019,"1,985,942"
c6f63bdcfefbf0fa8be7289700ae328df1ccd7779732fd73be01ddca73ba0f67,05/31/2022,5/6/2022,2022,"2,279,258"
2456fa1d7b99be7b99e30279b1b3793750aa04f84a02fb382b82702943bfef9f,05/31/2022,5/6/2022,2021,"1,703,267"
d521be0509f365d81fea8a05e57303c5a16a2ed70b20e6c4eb1664c553978e6d,05/31/2022,5/6/2022,2020,"215,444"
7ee4212d7376a76b0800667f78b347801c076ca67e3dbffea56219b8a3e57de2,05/31/2022,5/6/2022,2019,"2,602,631"
7a0338bcd30fff1195bb0437d73bda645fff300ce4ed4eceaa9b0de54173951d,05/31/2022,5/5/2022,2022,"2,234,701"
d9773392766d0f01e5777e66ba621c0592998e4d9ce79baebfde63d7f969bcf2,05/31/2022,5/5/2022,2021,"1,644,050"
07caa4ec22ef0edde11dc339cf126cff3db09d327fce8d74634c03f19e43caed,05/31/2022,5/5/2022,2020,"190,863"
d4fa6a85a5e966a1e5abe145496cb90f07da057ac7f47c98097677b4eee3e052,05/31/2022,5/5/2022,2019,"2,555,342"
cd0c8a4c0c7caa9a634df080f549899efe6a2d96fe29c635a4fc4e5e34252c39,05/31/2022,5/4/2022,2022,"1,953,128"
4d966a059ce803dee0ba698b318de0b43db0eee31abeb8e0b333ecdad529a61e,05/31/2022,5/4/2022,2021,"1,268,938"
c2e87133c43bd01433e6a3d9b09efe2d6a37bbbb45d0004ed2786b43e89b0d48,05/31/2022,5/4/2022,2020,"140,409"
ac7ad73cc760e0915742cc21d79b1dfe799a625a9c90c185af25612551fb6894,05/31/2022,5/4/2022,2019,"2,270,662"
7ebd691ddc2a8aa47df04b6c2866d39165f68e277df92a4123cf8ad07386d073,05/31/2022,5/3/2022,2022,"1,764,745"
56b32d2f3bdf31025ff0c382e0aa4c73485a9b132698e6ab2e947742996f91df,05/31/2022,5/3/2022,2021,"1,134,103"
62ddbd0d253afb778e6c5fcb8147c3422bc2d52dc87fd18bbcf32e108c6a0720,05/31/2022,5/3/2022,2020,"130,601"
705eb3f1a440f214edf0da140f71b4a65a8181f3dec9645e971ff5bb7305e9d9,05/31/2022,5/3/2022,2019,"2,106,597"
3b5b3d00bfcde4b52e0f2a4b6aca4566680862cc337a1b5b0cc39b0a51496e9d,05/31/2022,5/2/2022,2022,"2,136,427"
63990589b6496638c80e6b762380d61ff4c1a280a1769b2eaffc61ffadf21cac,05/31/2022,5/2/2022,2021,"1,463,672"
f93e81f5be854dd568a5274ad54f33d4dc535059be439e9d017c0657176ecf0d,05/31/2022,5/2/2022,2020,"163,692"
d8a8f8e19ea1db4f002ef2074afba77bc8fada908132ac12a10b33236c4d1da7,05/31/2022,5/2/2022,2019,"2,470,969"
d38e7672de681df6ab79224f96f168b7ac030eddd1177c9212ca93c1d2889202,05/31/2022,5/1/2022,2022,"2,263,646"
236235ad9fae0f1a8788d09c3baa09f56d180881ab17a978d984481c6c5f3d2d,05/31/2022,5/1/2022,2021,"1,626,962"
40bffc71b211f7aef73553a855a92f68c98ee3232cdf28a4f31b5010abe4ac7c,05/31/2022,5/1/2022,2020,"170,254"
f712289c6ba35202d5ebf40e774213866467ac1954e2aa53f8214d1e19f14b25,05/31/2022,5/1/2022,2019,"2,512,598"
19ea7d62bc647eb2f7f6aacc103fb7544294c2d9f0427117c56d1bfa55841949,05/31/2022,4/30/2022,2022,"1,877,559"
8e3ad181828439469e0602859d7da50d620a8f7ad38471cf362deea130d30acd,05/31/2022,4/30/2022,2021,"1,335,535"
f8febc42ac55165074a27aab24a9c05bf996ef263f52c4fa4615cabaa381eef0,05/31/2022,4/30/2022,2020,"134,261"
fe043baae5f86bbf203de10da1a3ff05573b43bd4429b886ffe5c30fb89b80de,05/31/2022,4/30/2022,2019,"1,968,278"
14d296687edbb39f3916f6d85da30ddefcfc0121e1029edb1ac0915c849dc0ec,05/31/2022,4/29/2022,2022,"2,275,133"
f30a6074bffdff2584585275f9210aa7ccc63df0559ffe65e61ad4a8be0096e8,05/31/2022,4/29/2022,2021,"1,558,553"
d37e75430855376612ed582375054eabee9d2debff5f629ce121411a19bac2b6,05/31/2022,4/29/2022,2020,"171,563"
a11df70c92b9739d21ae29badf1f27304987e6444475ba08ecfb77b724a8366d,05/31/2022,4/29/2022,2019,"2,546,029"
374fe02f81def416bb8af767fba12c5fb3fa9debff14685406fb781eeaec3ace,05/31/2022,4/28/2022,2022,"2,258,077"
fcf75d97bbf59cbb548243ca57f9632fdadf8f8f98757bb5f17d4afb70e39dcd,05/31/2022,4/28/2022,2021,"1,526,681"
e6f97db9d21042f827ef7155c401d0c780066eb1340f2c76920dfcdba106fa78,05/31/2022,4/28/2022,2020,"154,695"
2ede95db5ce1d8e6a01ec5113f178e766d39d9fb84ae925047781d312da49f3e,05/31/2022,4/28/2022,2019,"2,499,461"
79f4e112eb0a2fe5bcaf188e523615a69b19f938aded8557a0cafa11ad217fb4,05/31/2022,4/27/2022,2022,"1,996,601"
39b5be6d5c0babaa32cd3bdd29145415c28d12755877b69d999e250733518a3e,05/31/2022,4/27/2022,2021,"1,184,326"
bb329e30e681549ce9e05d31fbc341e45cbf0361ae1091ceef8b574d6a0ff893,05/31/2022,4/27/2022,2020,"119,629"
e3bbd7a9d881c27b41685602a515548454c9fbf37fab50c82764f6a1b9d2a6cb,05/31/2022,4/27/2022,2019,"2,256,442"
4925fe73c1c33d40d42c1cdc38df9026cdce8b5977db774e1a379223e5c135d4,05/31/2022,4/26/2022,2022,"1,863,020"
4f9d88b8c3bb77ce23d0df5dd72517eb53a67898453e1969c7c75ef306e16ea1,05/31/2022,4/26/2022,2021,"1,077,199"
a529afafc3cb04161aceb40f038f6d718bb443f3fbd650df3e69f925c334891a,05/31/2022,4/26/2022,2020,"110,913"
9633ae4d86aae7a908c5b6c3c514c7378383b9fe3eb8c60b20c25615cbc337bc,05/31/2022,4/26/2022,2019,"2,102,068"
b1237762f2f2bf73bc4534a21da566af471120cf303c82c8d03055281f77b757,05/31/2022,4/25/2022,2022,"2,182,717"
e429b018b9cd3c1777fd168fa81162fe25adef1d927e2887d625e9934fde59e0,05/31/2022,4/25/2022,2021,"1,369,410"
01aa82f34a41aebd8444e73052abc389425058f91bd6d1ce10bac30acf7b9e2e,05/31/2022,4/25/2022,2020,"119,854"
8f60d4bb24641351d2096eed602db874275e40f53554cad8f7f5dd89b5feac8f,05/31/2022,4/25/2022,2019,"2,412,770"
8292c2a48b0cef497687467493abdaba6735b8d5378f7f0b927d9f49138d8a6c,05/31/2022,4/24/2022,2022,"2,293,427"
e63287662f55fd62b17bf9390dbe02918910cb67e973dac37b3b9b5be7809af4,05/31/2022,4/24/2022,2021,"1,571,220"
b623a7c38e496962892b932e6afc6d420f2d9acf8c2a73ea0585a388380191ab,05/31/2022,4/24/2022,2020,"128,875"
1c0e125cc9ff01f459576819cc891f66913d2b436b7f85fb9463884704879f2d,05/31/2022,4/24/2022,2019,"2,506,809"
73da620bdc36848eebdfd2b58b1317c61badc635ceeecd921015b8ed6bf7478b,05/31/2022,4/23/2022,2022,"1,826,772"
85c1b2c66a5a03598a93222eed5cec90c0059e999ae71c1728fbdb22716cbb94,05/31/2022,4/23/2022,2021,"1,259,724"
119a968d5d1bb8fc9685344014e3854446a00a77afc59c8780baa0c0e7dabbe1,05/31/2022,4/23/2022,2020,"114,459"
fe26067799f4db4fe9a943c3c0daaddaaec7010c61de5f2c2037bdd289d3e35e,05/31/2022,4/23/2022,2019,"1,990,464"
eeef2b315e77cae60108298ed74b2a08a2b6e297016cf71c96afda4bc70ff215,05/31/2022,4/22/2022,2022,"2,293,242"
8dad310fac2278f3e205518af4f1eeffb2d9af5fe20a57f59c96e403e784a1fd,05/31/2022,4/22/2022,2021,"1,521,393"
532e52e914e447d3b7325e9915a7c389c3980429aac0c300289657fb7eab8ae1,05/31/2022,4/22/2022,2020,"123,464"
f0abfc8f5234a8c43e66acb5ae9951dcd806b32698af6188630865b9f57ddbbe,05/31/2022,4/22/2022,2019,"2,521,897"
e2bd8fff86b3b56293e789d6f69aa1e10a0ed0d3a39817d5880f9faf67c84ae2,05/31/2022,4/21/2022,2022,"2,279,905"
dec2621933d756788d9e7d66f7f23cfa97278a5a291287d45d3fed5cecdfefc2,05/31/2022,4/21/2022,2021,"1,509,649"
1c87ef3bb599b58b7bb4b144fa0474ffb0d78458260930ebdc5fc60dab233dbd,05/31/2022,4/21/2022,2020,"111,627"
81c1b2357bb5c8a89fa3eed48a5f8bebe266bd4015474417de904988d4566a03,05/31/2022,4/21/2022,2019,"2,526,961"
11fd8d8b1c7aec35fd24d2146307f50204b0647720c1c4e0871a33c7566fa416,05/31/2022,4/20/2022,2022,"2,027,836"
e514f63e14814cdee9d8d3c7a44b3a822675f2a4c9c4b762ab84ec9ad2004e49,05/31/2022,4/20/2022,2021,"1,164,099"
46c029a35f3c8083da81e6e60bae76cb507ba684d61dd3a0ea454365384ab488,05/31/2022,4/20/2022,2020,"98,968"
993be9a4b3b003a15cef3d4bfe822bb3ce1b6b587519038f3f876f1a10ac6a7d,05/31/2022,4/20/2022,2019,"2,254,209"
1a07101f3c8fab4b8953ac6dcf234ac3c30168245c6b1a440ffe2e72e8bc2c6b,05/31/2022,4/19/2022,2022,"1,979,882"
b87480613ccc9a9c65708fd6c866ece68c16a2cb5be9fd89a68bcbd2f07f3f17,05/31/2022,4/19/2022,2021,"1,082,443"
f272679708ee93d0c586ad6f87ff85f2a8c69ca226e5428b56b19f44c82f05a8,05/31/2022,4/19/2022,2020,"92,859"
369a4832be367331ce43faee27a0bd7eedbb06df3ebe888e37beafd4d4eb2287,05/31/2022,4/19/2022,2019,"2,227,475"
b68261cd6fae69ebfd27bf1ce2c3aad4cece36c62db0e7a6e06470f8f8d3416d,05/31/2022,4/18/2022,2022,"2,288,902"
2da7f83ad1f5e547e516568476fc29587f92749ea9e103edc8f763ff6b510b31,05/31/2022,4/18/2022,2021,"1,412,500"
165115b4815c4c8b69a46aedaa52b262afcea6059a5671e38adf607a9f0235a4,05/31/2022,4/18/2022,2020,"99,344"
9cf728c6b9dd9348059b05235666be2da4b1366df4a18d56de8e1042fea98679,05/31/2022,4/18/2022,2019,"2,594,171"
8d0acabeba86fa243cbccb6150398233f6ef4c0ef50109943c3ce850b99bf34a,05/31/2022,4/17/2022,2022,"2,214,519"
6841f44338988802b19fd227d5c4e55ec28a29b00623cc4c105706dc91a041f4,05/31/2022,4/17/2022,2021,"1,572,383"
fb69ce079b1f69ea7d905b71568dc9ffbd4232667266349c5033e23f842d6e5d,05/31/2022,4/17/2022,2020,"105,382"
2c03b5d377b67eaceed24f14e6ee70fd1b9f2bf4db4c5420e7a45f2840bb293c,05/31/2022,4/17/2022,2019,"2,356,802"
25f094e9d72676a773d5fb3c4413256a8066726e287ebc21435cb935d1a61449,05/31/2022,4/16/2022,2022,"1,894,331"
9286f2da6360037f723323ab431573666f6be76d8c37c685013046b32556a2a1,05/31/2022,4/16/2022,2021,"1,277,815"
a734a18b4d5ea8a6d87a72d930834aa25668cca161d234791d6d98dcca7f6310,05/31/2022,4/16/2022,2020,"97,236"
06ba376970827d58cf2966ca54eb6712f680bd04b31534fadf71482a487b7b31,05/31/2022,4/16/2022,2019,"1,988,205"
e33daaf89abaa6478468fd30ff6122ecb6292b36b554216d0b277a2da3c284e7,05/31/2022,4/15/2022,2022,"2,311,092"
5f1b02cd846b9c299c872caf4089b62d3a800b2bcd3f6e76ba2474f427db494e,05/31/2022,4/15/2022,2021,"1,468,218"
91c2ff462f797d76af4011d3e0132de1cb19c829b27e25cec50cd971d6ce5eff,05/31/2022,4/15/2022,2020,"106,385"
462a0f29edc6b0065a5d86e4c0dd43bd176f662e50d4e4b364a26da2e840aba6,05/31/2022,4/15/2022,2019,"2,457,133"
